doi,Unnamed: 1,status_download,nivel_informacao,categoria,tecnica,title,title 
10.1016/j.fsi.2025.110414,sem_open_access,resumo,outros,nao_identificada,excluir,"DIETARY PROBIOTIC INTERVENTION STRATEGIES OF LACTOBACILLUS ACIDOPHILUS AND BACILLUS SUBTILIS CO-CULTURED IN LITOPENAEUS VANNAMEI WITH LOW FISHMEAL DIET: INSIGHTS FROM IMMUNE ENHANCEMENT, ANTI-VIBRIO AND AMMONIA NITROGEN STRESS",
10.1016/j.molimm.2025.06.009,sem_pdf,resumo,outros,nao_identificada,excluir,NETWORK PHARMACOLOGY AND IN VIVO INVESTIGATION OF THE GROWTH AND IMMUNITY-ENHANCING MECHANISMS OF TETRAMETHYLPYRAZINE (TMP) IN LITOPENAEUS VANNAMEI,
10.1016/j.aqrep.2025.102809,sem_pdf,resumo,outros,nao_identificada,excluir,ENZYMATIC HYDROLYSIS OF COTTONSEED PROTEIN ENHANCES APPETITE AND INTESTINAL HEALTH OF LITOPENAEUS VANNAMEI,
10.1016/j.aquaculture.2025.742562,sem_open_access,resumo,outros,nao_identificada,excluir,"DIETARY BILE ACIDS REDUCED FERROPTOSIS, IMPROVED THE FLESH QUALITY AND INTESTINAL HEALTH OF PACIFIC WHITE SHRIMP (LITOPENAEUS VANNAMEI) FED THE HIGH PLANT PROTEIN-BASED DIETS",
10.1016/j.aqrep.2025.102751,sem_pdf,resumo,outros,nao_identificada,excluir,"HIGH INCLUSION OF CORN GLUTEN MEAL SUPPLEMENTED WITH BUTYRIC ACID; IMPACTS ON GROWTH, IMMUNOLOGY, HISTOPATHOLOGY, AND METABOLOMICS OF PACIFIC SHRIMP",
10.1007/s00343-024-4107-8,sem_open_access,resumo,outros,nao_identificada,excluir,"EFFECTS OF SULFATE CONTENT AND SALINITY ON GROWTH, OXYGEN CONSUMPTION, NA+/K+-ATPASE ACTIVITY, AND HEPATOPANCREAS HISTOPATHOLOGY OF PACIFIC WHITE SHRIMP LITOPENAEUS VANNAMEI",
10.3390/fishes10070318,erro_download,resumo,outros,nao_identificada,excluir,"PHARMACOKINETICS, PHARMACODYNAMICS AND DEPLETION OF FLORFENICOL APPLIED IN WHITE LEG SHRIMP (LITOPENAEUS VANNAMEI) AQUACULTURE AND IMPACT ON SHRIMP HEPATOPANCREAS HISTOLOGY",
10.1016/j.jip.2025.108331,sem_open_access,resumo,outros,nao_identificada,excluir,EXPERIMENTAL INFECTION STUDY REVEALS DIFFERENTIAL SUSCEPTIBILITIES OF PENAEUS MONODON AND PENAEUS VANNAMEI TO ENTEROCYTOZOON HEPATOPENAEI,
10.1016/j.aquaculture.2025.742449,sem_open_access,resumo,outros,nao_identificada,excluir,"EVIDENCE OF DECAPODS WITH DIV1-ATPASE PCR POSITIVE, BUT NO PATHOGNOMONIC LESIONS OF DIV1 INFECTION",
10.1016/j.fsi.2025.110257,sem_open_access,resumo,outros,nao_identificada,excluir,SCREENING OF INTESTINAL PROTEIN SIGNATURES IN PACIFIC WHITE-LEG SHRIMP (LITOPENAEUS VANNAMEI) WITH WHITE FECES SYNDROME BY PROTEOME,
10.1016/j.micpath.2025.107450,sem_open_access,resumo,outros,nao_identificada,excluir,PREVALENCE AND MOLECULAR CHARACTERIZATION OF ACUTE HEPATOPANCREATIC NECROSIS DISEASE (AHPND) IN CULTURED WHITE-LEG SHRIMP LITOPENAEUS VANNAMEI WITH THE FUNGAL BIOACTIVE CONTROL STRATEGY,
10.1016/j.fsi.2025.110274,sem_pdf,resumo,outros,nao_identificada,excluir,THE IMMUNOMODULATION OF OUTER MEMBRANE VESICLES FROM VIBRIO PARAHAEMOLYTICUS CAUSING ACUTE HEPATOPANCREATIC NECROSIS DISEASE IN PACIFIC WHITE SHRIMP LITOPENAEUS VANNAMEI,
10.1016/j.cirep.2025.200219,sem_pdf,resumo,outros,nao_identificada,excluir,COMPARATIVE ANALYSIS ON SURVIVAL AND TISSUE DAMAGE OF DIFFERENT ENVIRONMENTAL STRESS FACTORS IN PACIFIC WHITE SHRIMP LITOPENAEUS VANNAMEI,
10.3390/ani15121792,erro_download,resumo,outros,nao_identificada,excluir,"TOXIC EFFECTS OF ACUTE WATER SELENIUM EXPOSURE ON LITOPENAEUS VANNAMEI: SURVIVAL, PHYSIOLOGICAL RESPONSES, TRANSCRIPTOME, AND INTESTINAL MICROBIOTA",
10.1016/j.aninu.2024.11.020,sem_pdf,resumo,outros,nao_identificada,excluir,"EFFECT OF THREE POLYCHAETES ON GROWTH AND REPRODUCTIVE PERFORMANCE, BIOCHEMICAL INDICES AND HISTOLOGY OF DIFFERENT TISSUES IN THE FEMALE PACIFIC WHITE SHRIMP, LITOPENAEUS VANNAMEI BROODSTOCK",
10.1007/s10499-025-01916-x,sem_open_access,resumo,outros,nao_identificada,excluir,THE ETHYLMALONIC ENCEPHALOPATHY PROTEIN 1 (ETHE1) IS INVOLVED IN THE REGULATION OF ANTIOXIDATION AND APOPTOSIS IN LITOPENAEUS VANNAMEI UNDER HYPOXIA STRESS,
10.1111/jpn.14097,erro_download,resumo,outros,nao_identificada,excluir,"COMPARATIVE ANALYSIS OF THE BENEFITS OF GLUTATHIONE-RICH YEAST HYDROLYSATE AND ASTAXANTHIN ON GROWTH PERFORMANCE, ANTIOXIDANT CAPACITY AND LIPID METABOLISM IN PACIFIC WHITE SHRIMP (LITOPENAEUS VANNAMEI)",
10.1007/s00284-025-04187-0,sem_open_access,resumo,outros,nao_identificada,excluir,INDIGENOUS GRAM-NEGATIVE BACTERIA AS PROBIOTICS FOR PACIFIC WHITE SHRIMP (LITOPENAEUS VANNAMEI),
10.1016/j.marpolbul.2025.117831,sem_open_access,resumo,outros,nao_identificada,excluir,POLYETHYLENE TEREPHTHALATE MICROFIBERS CHANGE MOLTING PATTERNS OF PENAEUS VANNAMEI IN A BENTHIC EXPOSURE SYSTEM,
10.1016/j.aquaculture.2025.742169,sem_open_access,resumo,outros,nao_identificada,excluir,EFFECTS OF HYPOXIC STRESS ON GASTRIC SIEVE (GS) FILTERING FUNCTION OF LITOPENAEUS VANNAMEI,
10.1016/j.aquaculture.2025.742152,sem_open_access,resumo,outros,nao_identificada,excluir,"ENHANCEMENT OF TOTAL AMMONIA AND NITRITE REMOVAL, GROWTH, AND VIBRIO TOLERANCE IN WHITELEG SHRIMP (PENAEUS VANNAMEI) BY PARACOCCUS MARCUSII ND07 ADMINISTRATION IN REARING WATER",
10.1007/s10499-025-01883-3,sem_open_access,resumo,outros,nao_identificada,excluir,IMMUNITY AND HISTOPATHOLOGICAL CHANGES OF SHRIMP (LITOPENAEUS VANNAMEI) FED WITH MELALEUCA CAJUPUTI-SYNTHESIZED GOLD NANOPARTICLES (MC-AUNPS) SUPPLEMENTED DIETS AT VARIOUS DURATIONS AND CONCENTRATIONS,
10.2478/aoas-2024-0105,download_ok,texto_completo,aquicultura,histochemistry,incluir,"EFFECTS OF DIETARY CURCUMIN NANOPARTICLES (C-NPS) ON GROWTH PERFORMANCE, DIGESTIVE ENZYMES ACTIVITIES, ANTIOXIDANT STATUS AND IMMUNITY RESPONSES FOR ENHANCING THE INTESTINAL MUCOSA OF WHITE-LEG SHRIMP (LITOPENAEUS VANNAMEI) CHALLENGED BY FUSARIUM SOLANI",
10.2478/aoas-2024-0104,sem_pdf,resumo,outros,nao_identificada,excluir,"ENHANCEMENT OF GROWTH PERFORMANCE, MEAT QUALITY, DIGESTIVE SYSTEM, AND IMMUNITY OF LITOPENAEUS VANNAMEI FED WITH ADVANCED CHELATE COMPOUNDS-BASED MINERALS: A NEW PERSPECTIVE ON CHELATION TECHNOLOGY",
10.1016/j.aqrep.2025.102633,sem_pdf,resumo,outros,nao_identificada,excluir,METABOLOMICS PROFILES REVEALED POTENTIAL BIOMARKERS OF PACIFIC WHITE SHRIMP (LITOPENAEUS VANNAMEI) UNDER COLD AND LOW SALINITY STRESS,
10.1016/j.aqrep.2024.102599,sem_pdf,resumo,outros,nao_identificada,excluir,"PUMPKIN SEED OIL-LOADED CHITOSAN NANOPARTICLES ENHANCE GROWTH, DIGESTIVE ENZYMES, AND IMMUNE RESPONSE IN WHITELEG SHRIMP (LITOPENAEUS VANNAMEI): IMPACTS ON HISTOPATHOLOGY AND SURVIVAL AGAINST VIBRIO PARAHAEMOLYTICUS",
10.21608/ejabf.2025.419575,erro_execucao,resumo,outros,nao_identificada,excluir,HISTOPATHOLOGICAL ALTERATIONS OF HEPATOPANCREAS AND INTESTINES IN THE VANAME SHRIMP (LITOPENAEUS VANNAMEI) INFECTED BY WHITE FECES DISEASE (WFD),
10.3390/fishes10030124,erro_download,resumo,outros,nao_identificada,excluir,"GLYCEROL MONOLAURATE AFFECTS GROWTH, AMINO ACID PROFILE, ANTIOXIDANT CAPACITY, NUTRIENT APPARENT DIGESTIBILITY, AND HISTOLOGICAL MORPHOLOGY OF HEPATOPANCREAS IN JUVENILE PACIFIC WHITE SHRIMP (LITOPENAEUS VANNAMEI)",
10.3390/microorganisms13020402,sem_pdf,resumo,outros,nao_identificada,excluir,HISTOPATHOLOGICAL AND PROTEOMICS ANALYSIS OF SHRIMP LITOPENAEUS VANNAMEI INFECTED WITH ECYTONUCLEOSPORA HEPATOPENAEI,
10.3390/antiox14020194,erro_download,resumo,outros,nao_identificada,excluir,MOLECULAR AND PHYSIOLOGICAL RESPONSES OF LITOPENAEUS VANNAMEI TO NITROGEN AND PHOSPHORUS STRESS,
10.1016/j.anifeedsci.2024.116205,sem_open_access,resumo,outros,nao_identificada,excluir,"DIETARY INCLUSION OF MICROALGAE MEAL FOR PACIFIC WHITE SHRIMP (LITOPENAEUS VANNAMEI): EFFECTS ON GROWTH PERFORMANCE, FLESH QUALITY, AND IMMUNITY",
10.1016/j.ijbiomac.2024.138987,sem_open_access,resumo,outros,nao_identificada,excluir,"DIETARY BACILLUS SUBTILIS HGCC-1 IMPROVES THE GROWTH PERFORMANCE, ?-AMYLASE AND LIPASE ACTIVITIES, IMMUNITY AND ANTIOXIDANT CAPACITY, INTESTINAL MICROBIOTA, AND HEAT STRESS RESISTANCE IN PACIFIC WHITE SHRIMP (LITOPENAEUS VANNAMEI)",
10.1016/j.marpolbul.2024.117467,sem_open_access,resumo,outros,nao_identificada,excluir,"EVIDENCE OF MICROCYSTIN BIOACCUMULATION AND ITS EFFECTS ON STRUCTURAL ALTERATIONS IN VARIOUS SHRIMP (LITOPENAEUS VANNAMEI BOONE, 1931) TISSUES FROM SHRIMP AQUACULTURE IN THE NORTHERN COASTAL REGION OF EAST JAVA, INDONESIA",
10.13057/biodiv/d260216,erro_execucao,resumo,outros,nao_identificada,excluir,"DIGESTIVE TRACT MICROBIOTA COMPOSITION OF WHITE SHRIMP WITH SYMPTOMS OF WHITE FECES SYNDROME (WFS) CAUSING HIGH MORTALITY IN PASURUAN, INDONESIA",
10.21608/ejabf.2025.410871,sem_pdf,resumo,outros,nao_identificada,excluir,ASSESSMENT OF LACTIC ACID BACTERIA ISOLATED FROM THE WHITELEG SHRIMP (PENAEUS VANNAMEI) AS POTENTIAL BIOCONTROL AGAINST PATHOGENIC VIBRIO,
10.3390/genes16010069,erro_download,resumo,outros,nao_identificada,excluir,"MOLECULAR CHARACTERIZATION, RECOMBINANT EXPRESSION, AND FUNCTIONAL ANALYSIS OF CARBOXYPEPTIDASE B IN LITOPENAEUS VANNAMEI",
10.3390/ani15020159,erro_download,resumo,outros,nao_identificada,excluir,DIETARY HYDROXYPROLINE + VITAMIN C AND EUCOMMIA ULMOIDES IMPROVED THE GROWTH AND FLESH QUALITY OF PACIFIC WHITE SHRIMP (LITOPENAEUS VANNAMEI),
10.1371/journal.pone.0315819,download_ok,texto_completo,aquicultura,histochemistry,incluir,N-ACETYL-L-CYSTEINE AND LAURIC ACID, EFFECTIVE ANTIOXIDANT AND ANTIMICROBIAL FEED ADDITIVES FOR JUVENILE PACIFIC WHITE SHRIMP (LITOPENAEUS VANNAMEI) CULTURED AT HIGH STOCKING DENSITY
10.1016/j.fsi.2024.110059,sem_open_access,resumo,outros,nao_identificada,excluir,"THE BENEFITS OF ASTAXANTHIN-RICH MICROALGAL POWDER ON GROWTH, HEALTH, AND DISEASE RESISTANCE AGAINST FUSARIUM SOLANI IN PACIFIC WHITE SHRIMP",
10.3389/fimmu.2025.1688761,download_ok,texto_completo,aquicultura,histochemistry,incluir,COMPREHENSIVE EVALUATION OF INDIVIDUAL AND COMBINED DIETARY CAROTENOIDS IN PENAEUS VANNAMEI AND RESPONSE SURFACE ANALYSIS FOR OPTIMIZING COMBINATIONS,
10.1155/anu/8822600,erro_download,resumo,outros,nao_identificada,excluir,"DIETARY SYNTHETIC ASTAXANTHIN AND NATURAL ASTAXANTHIN FROM HAEMATOCOCCUS PLUVIALIS AND PHAFFIA RHODOZYMA IMPROVES THE GROWTH, ANTIOXIDANT CAPACITY, INNATE IMMUNITY, AND PIGMENTATION OF PACIFIC WHITE SHRIMP (LITOPENAEUS VANNAMEI)",
10.1155/are/5959199,erro_download,resumo,outros,nao_identificada,excluir,"SYNERGISTIC EFFECTS OF FERMENTED BILE ACIDS AND CHOLESTEROL ON GROWTH PERFORMANCE, IMMUNE RESPONSE, AND INTESTINAL MICROBIOTA OF LITOPENAEUS VANNAMEI IN FRESHWATER ENVIRONMENT",
10.1155/anu/6665220,erro_download,resumo,outros,nao_identificada,excluir,SULFORAPHANE REPAIRS OXIDATIVE STRESS DAMAGE INDUCED BY OXIDIZED FISH OIL BY ACTIVATING NRF2 IN LITOPENAEUS VANNAMEI,
10.2478/aoas-2025-0087,download_ok,texto_completo,aquicultura,histochemistry,incluir,"EVALUATING THE PERFORMANCE OF PACIFIC WHITE SHRIMP (PENAEUS VANNAMEI BOONE, 1931) REARED UNDER DIFFERENT STOCKING DENSITIES: A STUDY OF THEIR BIOCHEMICAL, IMMUNE, METABOLIC AND ANTIOXIDANT RESPONSES IN A BIOFLOC AQUACULTURE SYSTEM",
10.1155/are/8041189,erro_api,resumo,outros,nao_identificada,excluir,"EFFECTS OF DIURNAL OXYGEN VARIATION ON SURVIVAL, GROWTH, AND STRESS GENE EXPRESSION IN PACIFIC WHITE SHRIMP LITOPENAEUS VANNAMEI",
10.3389/fnut.2025.1586625,download_ok,texto_completo,aquicultura,histochemistry,incluir,DEVELOPMENT OF AN LC-MS/MS METHOD FOR ASTAXANTHIN QUANTIFICATION IN SHRIMP TISSUES AND ITS APPLICATION TO DETECT ASTAXANTHIN VARIATIONS DURING OVARY DEVELOPMENT STAGES,
10.52973/rcfcv-e35549,download_ok,texto_completo,aquicultura,nao_identificada,incluir,EFFECT OF BIOLOGICAL SILAGE FROM LITOPENAEUS VANNAMEI HEADS ON THE GUT MICROBIAL COMPOSITION AND HEALTH OF LAYING HENS, EFECTO DEL ENSILADO BIOLÓGICO DE CABEZA DE LITOPENAEUS VANNAMEI EN LA COMPOSICIÓN MICROBIANA INTESTINAL Y LA SALUD DE GALLINAS PONEDORAS
10.1016/j.aquaculture.2024.741334,sem_open_access,resumo,outros,nao_identificada,excluir,"SUPPLEMENTATION OF CLOSTRIDIUM BUTYRICUM LV1 LYOPHILISED POWDER TO COTTONSEED PROTEIN CONCENTRATE BASAL DIETS IMPROVES GROWTH, INTESTINAL MICROBIOTA, AND IMMUNITY OF LITOPENAEUS VANNAMEI",
10.1186/s12866-024-03681-y,download_ok,texto_completo,aquicultura,histochemistry,incluir,ECYTONUCLEOSPORA HEPATOPENAEI (EHP) DISEASE PREVALENCE AND MORTALITY IN LITOPENAEUS VANNAMEI: A COMPARATIVE STUDY FROM EASTERN INDIA SHRIMP FARMS,
10.1016/j.ecoenv.2024.117376,sem_pdf,resumo,outros,nao_identificada,excluir,RESIDUAL LEVELS OF DIETARY DELTAMETHRIN INTERFERE WITH GROWTH AND INTESTINAL HEALTH IN LITOPENAEUS VANNAMEI,
10.1016/j.aquatox.2024.107164,sem_open_access,resumo,outros,nao_identificada,excluir,"INTEGRATED PHYSIOLOGICAL, ENERGY METABOLISM, AND METABONOMIC RESPONSES INDICATE THE STRESS RESPONSE IN THE HEPATOPANCREAS OF LITOPENAEUS VANNAMEI TO NITRITE STRESS",
10.1016/j.aquatox.2024.107133,sem_pdf,resumo,outros,nao_identificada,excluir,"EFFECTS OF AMMONIA EXPOSURE AND POST-EXPOSURE RECOVERY IN PACIFIC WHITE SHRIMP, LITOPENAEUS VANNAMEI: HISTOLOGICAL, PHYSIOLOGICAL AND MOLECULAR RESPONSES",
10.1016/j.aqrep.2024.102413,sem_pdf,resumo,outros,nao_identificada,excluir,APOPTOSIS-STIMULATING PROTEIN OF P53 (ASPP) PARTICIPATES IN THE REGULATION OF APOPTOSIS IN LITOPENAEUS VANNAMEI UNDER AMMONIA-N AND NITRITE-N STRESS,
10.1016/j.aqrep.2024.102387,sem_pdf,resumo,outros,nao_identificada,excluir,"EFFECTS OF DIETARY SULFATED POLYSACCHARIDES EXTRACTED FROM BROWN MACROALGAE SARGASSUM ILICIFOLIUM ON GROWTH INDICES, ANTIOXIDANT STATUS, AND IMMUNE GENES EXPRESSION IN WHITE SHRIMP (LITOPENAEUS VANNAMEI)",
10.1016/j.aqrep.2024.102380,sem_pdf,resumo,outros,nao_identificada,excluir,"NQO1 FROM LITOPENAEUS VANNAMEI INVOLVED IN THE REGULATION OF ANTIOXIDANT CAPACITY, INFLAMMATION, AND APOPTOSIS",
10.1016/j.dci.2024.105265,sem_open_access,resumo,outros,nao_identificada,excluir,STUDIES ON IMMUNOLOGICAL CHARACTERISTICS AND TRANSCRIPTOMIC ANALYSIS OF LITOPENAEUS VANNAMEI LOW SALT-TOLERANCE FAMILY,
10.1007/s10499-024-01655-5,sem_open_access,resumo,outros,nao_identificada,excluir,"EFFECT OF PICOCHLORUM SP. ADDITION ON WATER QUALITY, MICROALGAE COMMUNITY COMPOSITION AND PRODUCTION PERFORMANCE IN THE CULTURE OF LITOPENAEUS VANNAMEI",
10.1016/j.cbpc.2024.110014,sem_open_access,resumo,outros,nao_identificada,excluir,"PEROXIREDOXIN 6 (PRX6) OF PENAEUS VANNAMEI AND EFFECT OF PHENANTHRENE ON PRX6 AND GLUTATHIONE PEROXIDASE 4 EXPRESSION, GLUTATHIONE-DEPENDENT PEROXIDASE ACTIVITY AND LIPID PEROXIDATION",
10.1186/s12917-024-04207-4,download_ok,texto_completo,aquicultura,histochemistry,incluir,"EFFECTS OF DIETARY SUPPLEMENTATION WITH BACILLUS VELEZENSIS ON THE GROWTH PERFORMANCE, BODY COMPOSITION, ANTIOXIDANT, IMMUNE-RELATED GENE EXPRESSION, AND HISTOLOGY OF PACIFIC WHITE SHRIMP, LITOPENAEUS VANNAMEI",
10.1007/s10499-024-01559-4,sem_open_access,resumo,outros,nao_identificada,excluir,CHARACTERIZATION OF THE QUALITY AND PHYSIOLOGICAL STATUS OF PENAEUS VANNAMEI IN SALT PANS AT VARIOUS SALINITIES,
10.1038/s41598-024-62436-x,download_ok,texto_completo,aquicultura,h&e,incluir,"FUNCTIONAL AND MECHANISTIC STUDIES OF A PHYTOGENIC FORMULATION, SHRIMP BEST, IN GROWTH PERFORMANCE AND VIBRIOSIS IN WHITELEG SHRIMP",
10.1038/s41598-024-61328-4,download_ok,texto_completo,aquicultura,histochemistry,incluir,"INFLUENCE OF STOCKING DENSITY ON THE GROWTH, IMMUNE AND PHYSIOLOGICAL RESPONSES, AND CULTIVATION ENVIRONMENT OF WHITE-LEG SHRIMP (LITOPENAEUS VANNAMEI) IN BIOFLOC SYSTEMS",
10.1007/s10499-024-01513-4,download_ok,texto_completo,aquicultura,histochemistry,incluir,"CUMULATIVE MORTALITIES IN WHITE LEG SHRIMP, LITOPENAEUS VANNAMEI BOONE 1931, CULTURED IN BIOFLOC SYSTEM IN EGYPT REFLECTED NEW RECORD OF FUSARIUM VERTICILLIOIDES INFECTION",
10.1016/j.cirep.2024.200173,sem_pdf,resumo,outros,nao_identificada,excluir,TRANSCRIPTOME SIGNATURE OF JUVENILE LITOPENAEUS VANNAMEI CULTURED UNDER DIFFERENT SALINITY LEVELS IN RESPONSE TO VIBRIO HARVEYI INFECTION,
10.1016/j.scitotenv.2024.175588,sem_open_access,resumo,outros,nao_identificada,excluir,IMPACTS OF POLYHYDROXYBUTYRATE (PHB) MICROPLASTIC EXPOSURE ON PHYSIOLOGY AND METABOLIC PROFILES OF LITOPENAEUS VANNAMEI,
10.3390/antiox13111318,erro_download,resumo,outros,nao_identificada,excluir,"EFFECTS OF NITRITE STRESS ON THE ANTIOXIDANT, IMMUNITY, ENERGY METABOLISM, AND MICROBIAL COMMUNITY STATUS IN THE INTESTINE OF LITOPENAEUS VANNAMEI",
